@relation null

@attribute idadenumero {De30a43,De54a66,De23a29,De44a53,De18a22}
@attribute sexo {Feminino,Masculino}
@attribute glabela {NadaProeminente,Proeminente,PoucoProeminente,MuitoProeminente,Indisponivel}
@attribute fronte {MuitoVertical,Inclinada,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoArredondado,MuitoQuadrado,Indisponivel}
@attribute mentoproeminencia {Discreto,Proeminente,MuitoProeminente,MuitoDiscreto,Indisponivel}
@attribute orbita {Angulosa,Redonda,MuitoRedonda,Indisponivel,MuitoAngulosa}

@data
De30a43,Feminino,NadaProeminente,MuitoVertical,Quadrado,Arredondado,Discreto,Angulosa
De54a66,Feminino,Proeminente,Inclinada,Quadrado,Arredondado,Proeminente,Redonda
De30a43,Masculino,PoucoProeminente,Vertical,Quadrado,Quadrado,Proeminente,Redonda
De30a43,Masculino,PoucoProeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
De30a43,Feminino,Proeminente,MuitoVertical,Quadrado,Arredondado,Proeminente,Angulosa
De23a29,Feminino,Proeminente,Inclinada,Redondo,Arredondado,Proeminente,Redonda
De23a29,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Redonda
De23a29,Masculino,Proeminente,Vertical,Redondo,Quadrado,Proeminente,Angulosa
De23a29,Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Angulosa
De44a53,Masculino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
De30a43,Masculino,Proeminente,Inclinada,MuitoQuadrado,Quadrado,Proeminente,Redonda
De18a22,Masculino,PoucoProeminente,Vertical,MuitoQuadrado,MuitoArredondado,Discreto,Angulosa
De30a43,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
De23a29,Masculino,Proeminente,Inclinada,Redondo,Arredondado,Proeminente,Redonda
De23a29,Masculino,PoucoProeminente,Inclinada,Quadrado,Arredondado,Proeminente,Redonda
De30a43,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De23a29,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De23a29,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
De30a43,Masculino,Proeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Redonda
De30a43,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
De30a43,Masculino,Proeminente,Inclinada,Redondo,Arredondado,Proeminente,Redonda
De18a22,Masculino,Proeminente,Vertical,Redondo,Quadrado,Proeminente,Redonda
De30a43,Masculino,Proeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De30a43,Masculino,PoucoProeminente,Inclinada,Quadrado,Arredondado,Discreto,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,Redondo,Quadrado,Proeminente,Redonda
De30a43,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De23a29,Masculino,Proeminente,MuitoInclinada,Redondo,Quadrado,Proeminente,Angulosa
De30a43,Feminino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
De23a29,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
De18a22,Feminino,NadaProeminente,Vertical,Redondo,MuitoArredondado,Proeminente,Redonda
De30a43,Masculino,Proeminente,Vertical,Redondo,Arredondado,Proeminente,Angulosa
De30a43,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De18a22,Feminino,NadaProeminente,MuitoVertical,Redondo,Arredondado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,MuitoRedondo,Quadrado,Proeminente,Angulosa
De23a29,Masculino,Proeminente,Inclinada,Redondo,Arredondado,Proeminente,Angulosa
De30a43,Feminino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
De54a66,Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Redonda
De23a29,Masculino,PoucoProeminente,Vertical,Redondo,Quadrado,Discreto,Angulosa
De30a43,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
De30a43,Feminino,NadaProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De44a53,Feminino,PoucoProeminente,Inclinada,Redondo,Arredondado,Discreto,Redonda
De30a43,Feminino,PoucoProeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
De23a29,Masculino,Proeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Feminino,Proeminente,Vertical,Redondo,Quadrado,Discreto,Redonda
De30a43,Masculino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
De18a22,Masculino,Proeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De18a22,Masculino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
De18a22,Feminino,Proeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De23a29,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
De23a29,Feminino,NadaProeminente,MuitoVertical,Quadrado,Arredondado,Proeminente,Redonda
De30a43,Masculino,Proeminente,MuitoVertical,Quadrado,Quadrado,Proeminente,Redonda
De23a29,Masculino,MuitoProeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Angulosa
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Angulosa
De23a29,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Redonda
De54a66,Masculino,Proeminente,Vertical,Indisponivel,Quadrado,Proeminente,Angulosa
De54a66,Masculino,Proeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
De23a29,Masculino,Proeminente,Inclinada,Redondo,Arredondado,Proeminente,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De18a22,Feminino,NadaProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
De18a22,Feminino,NadaProeminente,Vertical,MuitoRedondo,Arredondado,Proeminente,Redonda
De18a22,Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Proeminente,Angulosa
De30a43,Masculino,Proeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Feminino,NadaProeminente,Vertical,Redondo,Quadrado,Discreto,Redonda
De30a43,Masculino,Proeminente,Inclinada,Quadrado,Arredondado,Discreto,Redonda
De23a29,Masculino,MuitoProeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
