idadenumero  sexo  glabela  fronte  incisivos  mentoredondo  mentoproeminencia  orbita
Adulto  Feminino  NadaProeminente  MuitoVertical  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Feminino  Proeminente  Inclinada  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  Vertical  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  Vertical  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  Proeminente  MuitoVertical  Quadrado  Arredondado  Proeminente  Angulosa
Adulto  Feminino  Proeminente  Inclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  Quadrado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Masculino  PoucoProeminente  Vertical  Quadrado  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  MuitoQuadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  Vertical  MuitoQuadrado  MuitoArredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  Inclinada  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
PosPuberal  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Arredondado  Discreto  Redonda
PosPuberal  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Masculino  PoucoProeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
PosPuberal  Feminino  NadaProeminente  Inclinada  Redondo  Quadrado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  MuitoInclinada  Redondo  Quadrado  Proeminente  Angulosa
Adulto  Feminino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
PosPuberal  Feminino  NadaProeminente  Vertical  Redondo  MuitoArredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Redondo  Arredondado  Proeminente  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  MuitoVertical  Redondo  Arredondado  Proeminente  Redonda
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoRedondo  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Redondo  Arredondado  Proeminente  Angulosa
Adulto  Feminino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Quadrado  Proeminente  Redonda
Adulto  Masculino  PoucoProeminente  Vertical  Redondo  Quadrado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  Proeminente  Vertical  Redondo  Quadrado  Discreto  Redonda
Adulto  Masculino  PoucoProeminente  Vertical  Redondo  Quadrado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
PosPuberal  Masculino  Proeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
PosPuberal  Masculino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Angulosa
PosPuberal  Feminino  Proeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoVertical  Quadrado  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  MuitoVertical  Quadrado  Quadrado  Proeminente  Redonda
Adulto  Masculino  MuitoProeminente  MuitoInclinada  Quadrado  Arredondado  Proeminente  Angulosa
PosPuberal  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Indisponivel  Quadrado  Proeminente  Angulosa
Velho  Masculino  Proeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Angulosa
Velho  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
PosPuberal  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
PosPuberal  Feminino  NadaProeminente  Vertical  Redondo  Arredondado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  Vertical  MuitoRedondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  MuitoInclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  Vertical  Redondo  Quadrado  Discreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  MuitoProeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Arredondado  Discreto  Angulosa
PosPuberal  Masculino  NadaProeminente  MuitoInclinada  MuitoRedondo  Quadrado  Proeminente  Redonda
PosPuberal  Feminino  PoucoProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Redonda
Adulto  Feminino  PoucoProeminente  MuitoVertical  Quadrado  MuitoArredondado  MuitoProeminente  Angulosa
Velho  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Redonda
PosPuberal  Masculino  Proeminente  Inclinada  MuitoQuadrado  Quadrado  MuitoDiscreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoQuadrado  MuitoProeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoQuadrado  Discreto  Redonda
