@relation null

@attribute sexo {Masculino,Feminino}
@attribute glabela {MuitoProeminente,NadaProeminente,PoucoProeminente,Proeminente,Indisponivel}
@attribute fronte {Inclinada,MuitoVertical,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoQuadrado,MuitoArredondado,Indisponivel}
@attribute mentoproeminencia {MuitoDiscreto,Proeminente,Discreto,MuitoProeminente,Indisponivel}
@attribute orbita {Angulosa,Redonda,Indisponivel,MuitoRedonda,MuitoAngulosa}

@data
Masculino,MuitoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Angulosa
Feminino,NadaProeminente,MuitoVertical,Quadrado,Arredondado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Redondo,Arredondado,MuitoDiscreto,Redonda
Masculino,PoucoProeminente,MuitoVertical,Quadrado,Arredondado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,MuitoQuadrado,Arredondado,Proeminente,Redonda
Masculino,NadaProeminente,MuitoVertical,Redondo,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
Feminino,Proeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
Feminino,NadaProeminente,MuitoVertical,Redondo,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Redonda
Masculino,MuitoProeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Redonda
Masculino,Proeminente,MuitoInclinada,Quadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
Masculino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Redonda
Masculino,Proeminente,MuitoInclinada,Quadrado,Arredondado,Discreto,Redonda
Masculino,MuitoProeminente,Inclinada,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Feminino,NadaProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
Feminino,NadaProeminente,Vertical,Quadrado,Arredondado,Discreto,Angulosa
Masculino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Discreto,Redonda
Feminino,Proeminente,Vertical,Redondo,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Redondo,Quadrado,Discreto,Indisponivel
Masculino,Proeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Discreto,Redonda
Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Redondo,MuitoArredondado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,MuitoQuadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Proeminente,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
