age spectacle astigmatism tear contact
young myope ? reduced ?
young myope no normal soft
young ? yes reduced none
young myope yes normal hard
young hypermetrope no reduced none
? hypermetrope no normal soft
young hypermetrope ? reduced none
young hypermetrope yes normal hard
? myope no reduced none
pre-presbyopic myope no normal soft
pre-presbyopic myope yes reduced none
pre-presbyopic ? yes normal hard
? hypermetrope no reduced none
pre-presbyopic hypermetrope no normal soft
pre-presbyopic hypermetrope yes ? none
pre-presbyopic hypermetrope yes normal none
? myope no reduced ?
presbyopic myope no normal none
presbyopic myope yes reduced none
presbyopic myope yes normal hard
presbyopic ? no reduced none
presbyopic hypermetrope no normal soft
presbyopic hypermetrope yes reduced none
presbyopic hypermetrope yes normal none
